,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
gravy,0.5681262612342834,0.6719735860824585,0.7356685400009155,0.19831588864326477,0.6971404552459717,0.8072587847709656,0.42346081137657166,0.4403449296951294,0.7179549932479858,0.4273982644081116,0.7512539029121399,0.8761329054832458,0.31982681155204773,0.4689805507659912,0.7084304690361023,1.211387038230896,0.3368029296398163,0.7550256848335266,0.3840818703174591,0.6750394701957703
aliphatic,0.8423531651496887,1.0035502910614014,0.9658215641975403,0.6827479600906372,0.6659574508666992,1.2423341274261475,0.594944417476654,0.7206882834434509,0.45685234665870667,0.5180588960647583,0.5645374655723572,0.6798695921897888,0.30747705698013306,0.8280289769172668,0.6698601841926575,1.316674828529358,0.3469099998474121,0.7188374400138855,0.39131680130958557,1.1047972440719604
iupred_average_all,0.33347564935684204,0.1695839762687683,0.6451233625411987,0.2458907514810562,0.10400467365980148,0.15215903520584106,0.1396857351064682,0.17370431125164032,0.3797524571418762,0.15814052522182465,0.22517730295658112,0.11089588701725006,0.14405101537704468,0.15959575772285461,0.17058393359184265,0.054197415709495544,0.2214452177286148,0.14503856003284454,0.1203552708029747,0.1771327704191208
iupred_percentage_all,0.3824860751628876,0.1578754186630249,0.5243199467658997,0.3952150344848633,0.2997550964355469,0.655874490737915,0.3074895143508911,0.3757622539997101,0.6471152305603027,0.4413912892341614,0.4849206209182739,0.5067787766456604,0.40904125571250916,0.543492317199707,0.24923154711723328,0.1489642709493637,0.39851173758506775,0.3893086016178131,0.19072066247463226,0.13672062754631042
moreronn_average_all,0.22755445539951324,0.36648547649383545,0.33006855845451355,0.32774749398231506,0.4187961518764496,0.2460530698299408,0.21099701523780823,0.34419894218444824,0.619564414024353,0.24694696068763733,0.2144440859556198,0.2996388375759125,0.20904217660427094,0.36692023277282715,0.6163994073867798,0.2651824951171875,0.4525656998157501,0.5924562811851501,0.354107141494751,0.21155233681201935
moreronn_percentage_all,0.5591465830802917,0.440154105424881,0.7746220231056213,0.3829496204853058,0.7995048761367798,0.3616509437561035,0.5334309935569763,0.5684236288070679,0.7249025702476501,0.39251136779785156,1.0567548274993896,0.6395785808563232,0.7098782062530518,0.4184460937976837,0.37533193826675415,0.4130137264728546,0.6889252066612244,0.9128983020782471,1.0818864107131958,0.8542324900627136
disorder_consensus_all,0.4670273959636688,0.472478449344635,0.3671886920928955,0.24637645483016968,0.3787592649459839,0.42068034410476685,0.36927926540374756,0.3224576413631439,0.6048142910003662,0.36474281549453735,0.42235302925109863,0.6980187296867371,0.19948668777942657,0.46699175238609314,0.28038838505744934,0.4824221134185791,0.38019242882728577,0.3659283220767975,0.21043367683887482,0.2846861779689789
iupred_average_start,0.4040529131889343,0.6985555291175842,0.3465995192527771,0.5554995536804199,0.4044187664985657,0.44525763392448425,0.3793688118457794,0.32071301341056824,0.4810691475868225,0.4081912636756897,0.27208101749420166,0.2695620357990265,0.27951714396476746,0.7465617656707764,0.4189026653766632,0.4117910861968994,0.11801937222480774,0.8908343315124512,0.2819961607456207,0.4292229413986206
iupred_percentage_start,0.06872843950986862,0.0510135181248188,0.08908478915691376,0.053870800882577896,0.05129089951515198,0.11669725924730301,0.056918542832136154,0.07878557592630386,0.13616393506526947,0.07688736915588379,0.11455357819795609,0.05513223633170128,0.060351308435201645,0.10518383979797363,0.04374248534440994,0.028132803738117218,0.050714146345853806,0.0856754258275032,0.04976879060268402,0.11119643598794937
moreronn_average_start,0.2263382375240326,0.32478728890419006,0.5236405730247498,0.18221844732761383,0.6305052042007446,0.32545459270477295,0.16067777574062347,0.16394788026809692,0.3950539231300354,0.17736688256263733,0.2801589369773865,0.1726505607366562,0.15219518542289734,0.21492807567119598,0.185201033949852,0.22610852122306824,0.10979831963777542,0.3123254179954529,0.07675420492887497,0.11505552381277084
moreronn_percentage_start,0.2456721067428589,0.3017815053462982,0.19807502627372742,0.30747660994529724,0.25313493609428406,0.11174789071083069,0.06477940827608109,0.24127905070781708,0.15906578302383423,0.06823091953992844,0.07282806187868118,0.48668989539146423,0.14476776123046875,0.46498531103134155,0.14197780191898346,0.09572640061378479,0.10692313313484192,0.12137328833341599,0.08434513211250305,0.256182461977005
disorder_consensus_start,0.07750264555215836,0.03963683545589447,0.07664257287979126,0.21326135098934174,0.050915177911520004,0.16451731324195862,0.09653951227664948,0.07332870364189148,0.05289819836616516,0.10474471002817154,0.1030348613858223,0.0295327827334404,0.03976410999894142,0.11931075155735016,0.11126434803009033,0.094499871134758,0.10394337773323059,0.0,0.07998728007078171,0.12413279712200165
iupred_average_end,0.23293881118297577,0.07664953172206879,0.08199731260538101,0.14456911385059357,0.020671207457780838,0.12219135463237762,0.009619483724236488,0.07996905595064163,0.39688238501548767,0.12286902964115143,0.03587927296757698,0.18356548249721527,0.20442499220371246,0.2023339867591858,0.48410800099372864,0.0,0.13305315375328064,0.0,0.1448569893836975,0.7938075661659241
iupred_percentage_end,0.031040992587804794,0.00907829962670803,0.03945890814065933,0.08389320969581604,0.0,0.05213180184364319,0.0,0.01842639595270157,0.044550009071826935,0.07181936502456665,0.028798967599868774,0.0303732268512249,0.030656155198812485,0.052545130252838135,0.0817965567111969,0.0,0.09173289686441422,0.0,0.01203621830791235,0.09575322270393372
moreronn_average_end,0.1484341025352478,0.1223340854048729,0.11876518279314041,0.1230490431189537,0.03435371071100235,0.1297854483127594,0.018677597865462303,0.04754403978586197,0.2476075142621994,0.07248768210411072,0.027793914079666138,0.05663032457232475,0.08190640062093735,0.1026349812746048,0.118842713534832,0.02321469970047474,0.19155900180339813,0.0,0.03162786364555359,0.15285401046276093
moreronn_percentage_end,0.12333609163761139,0.041840989142656326,0.081197589635849,0.0,0.04107080399990082,0.0704546645283699,0.010822189971804619,0.07825510948896408,0.07178658992052078,0.029438069090247154,0.005129586439579725,0.0986102893948555,0.0886370986700058,0.17959937453269958,0.1284066140651703,0.06307559460401535,0.06261925399303436,0.010472591035068035,0.023587165400385857,0.1332448422908783
